MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,INVENTURE GRO & SEC LTD,         4.15,         4.20,         4.25,         3.85,         3.90,                 73276283.20,18393500,N, ,7300,        42.00,         3.70
N,INDIAN OVERSEAS BANK,        28.05,        28.35,        28.95,        27.20,        27.35,               1234370027.50,44266806,N, ,51634,        29.00,         8.50
N,IOL CHEM AND PHARMA LTD,       607.90,       608.10,       614.35,       603.00,       606.65,                172328311.90,283304,N, ,10076,       898.90,       441.05
N,IPCA LABORATORIES LTD,      2026.40,      2026.50,      2035.00,      2006.75,      2020.30,                322546313.40,159776,N, ,8887,      2460.00,      1615.00
N,IRB INFRA DEV LTD.,       161.40,       161.20,       163.00,       154.25,       155.55,                437061410.65,2768247,N, ,15815,       170.95,        86.55
N,IRB INVIT FUND,        55.75,        55.79,        55.79,        55.50,        55.52,                 30431925.00,547500,N, ,132,        60.01,        32.36
N,IRCON INTERNATIONAL LTD,        48.80,        49.00,        49.30,        48.10,        48.25,                148587151.95,3072185,N, ,11592,       108.50,        45.30
N,INDIAN RAIL TOUR CORP LTD,      2033.85,      2047.80,      2058.85,      2030.30,      2034.80,               1534466977.45,750998,N, ,35130,      2184.00,      1290.05
N,INDIAN RAILWAY FIN CORP L,        24.85,        24.95,        25.00,        24.20,        24.25,                583983795.55,23822346,N, ,46356,        26.70,        20.80
N,IRIS CLOTHINGS LIMITED,       122.35,       119.15,       124.55,       119.15,       122.25,                   701775.60,5727,N, ,101,       142.30,        62.35
N,ICICI SECURITIES LIMITED,       640.95,       644.00,       666.40,       637.10,       660.15,                296129799.60,454391,N, ,18094,       678.70,       376.90
N,INTRASOFT TECH. LTD,       109.45,       114.00,       114.90,       108.10,       109.70,                 37277125.55,331546,N, ,4835,       117.95,        59.50
N,ISGEC HEAVY ENG LTD,       767.50,       784.00,       801.90,       743.75,       775.20,                473979463.15,612668,N, ,20503,       825.00,       524.15
N,INDIA TOUR. DEV. CO. LTD.,       396.55,       399.80,       401.05,       392.00,       393.10,                 13439157.05,33975,N, ,2067,       464.50,       207.05
N,ITD CEMENTATION INDIA LTD,        81.80,        82.45,        83.75,        82.10,        82.90,                 24691072.30,297682,N, ,3454,        94.40,        41.85
N,ITI LTD,       131.45,       131.45,       131.45,       128.00,       128.45,                 65230769.75,503996,N, ,5272,       151.65,       102.00
N,IVP LTD,       129.25,       131.95,       131.95,       125.55,       128.35,                   382391.70,2984,N, ,120,       165.40,        35.00
N,IZMO LIMITED,        84.25,        85.00,        86.70,        82.25,        84.75,                  4688851.85,54943,N, ,825,        95.00,        19.10
N,J & K BANK LTD.,        40.35,        40.65,        42.15,        40.10,        41.25,                376155402.40,9124958,N, ,17804,        44.30,        14.05
N,JAGRAN PRAKASHAN LIMITED,        65.05,        65.50,        65.70,        63.00,        63.20,                 22588783.40,353253,N, ,2545,        69.55,        35.50
N,JAGSONPAL PHARMACEUTICALS,       157.65,       155.00,       157.00,       150.65,       151.80,                 20083160.65,131180,N, ,2581,       170.70,        33.05
N,JAI BALAJI INDUSTRIES LTD,        54.15,        56.80,        56.80,        51.45,        51.60,                  8094845.90,149241,N, ,1146,        60.35,        13.75
N,JAI CORP LIMITED,       153.80,       154.15,       156.45,       151.25,       152.70,                251909530.70,1638904,N, ,12990,       169.80,        78.05
N,JAMNA AUTO IND LTD,        84.65,        85.00,        85.00,        82.85,        83.10,                 84536505.30,1011965,N, ,7759,        89.10,        28.05
N,JASH ENGINEERING LIMITED,       568.25,       570.00,       579.00,       552.00,       568.45,                 22913554.85,40355,N, ,1908,       628.00,       136.00
N,JAYANT AGRO ORGANICS LTD,       213.15,       214.25,       217.00,       211.00,       212.75,                  9418916.60,43995,N, ,2788,       234.00,        83.25
N,JAY BHARAT MARUTI LTD,       212.70,       217.00,       217.00,       212.60,       214.35,                 14619882.60,67807,N, ,2819,       387.15,       165.10
N,JAYSHREE TEA & INDUSTRIES,       105.15,       102.10,       103.95,        99.90,       102.65,                 34777250.20,340203,N, ,4695,       111.80,        43.00
N,J B CHEMICALS AND PHARMA,      1665.20,      1662.00,      1698.90,      1646.15,      1689.85,                213283189.25,127211,N, ,14872,      1698.90,       668.00
