GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
L,UCAL FUEL SYSTEMS LTD,       175.15,       201.60,-13.12
L,SREE RAYALSEEMA HHP LTD.,       325.55,       362.25,-10.13
L,MOHINI HEALTH&HYGIENE LTD,        22.55,        25.05,-9.98
L,SEQUENT SCIENTIFIC LTD.,       283.05,       312.85,-9.53
L,UNS RED NCD 9.50% SR. VII,       350.73,       386.00,-9.14
L,VODAFONE IDEA LIMITED,         9.05,         9.95,-9.05
L,9.35% SRNCD SR V B,       400.83,       440.00,-8.9
L,VINEET LABORATORIES LTD,        74.05,        80.80,-8.35
L,ALANKIT LIMITED,        24.35,        26.40,-7.77
L,REFEX INDUSTRIES LIMITED,       145.95,       157.95,-7.6
L,EBIXCASH WRLD MONEY IND,       651.45,       701.90,-7.19
L,KUANTUM PAPERS LIMITED,        71.05,        76.55,-7.18
L,ANDHRA SUGARS LTD,       555.35,       598.00,-7.13
L,DYNACONS SYS & SOLN LTD,       153.65,       165.15,-6.96
L,PTL ENTERPRISES LTD,        52.55,        56.40,-6.83
L,RAJ OIL MILLS LIMITED,        83.75,        89.60,-6.53
L,USHANTI COLOUR CHEM LTD,        51.05,        54.50,-6.33
L,INVENTURE GRO & SEC LTD,         3.90,         4.15,-6.02
L,RAJ TV NETWORK LTD,        60.55,        64.15,-5.61
L,GOODLUCK INDIA LIMITED,       105.10,       111.15,-5.44
L,SWARAJ ENGINES LTD,      1849.70,      1952.25,-5.25
