SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
POWERMECH,EQ,POWER MECH PROJECTS LTD.,H
PRAKASHSTL,BE,PRAKASH STEELAGE LTD,H
PRAXIS,EQ,PRAXIS HOME RETAIL LTD,H
PRECOT,EQ,PRECOT LIMITED,H
PREMIER,BE,PREMIER LIMITED,H
PRIMESECU,EQ,PRIME SECURITIES LIMITED,H
PROINDIA,EQ,PROSEED INDIA LTD,H
PROLIFE,SM,PROLIFE INDUSTRIES LTD,H
PROZONINTU,BE,PROZONE INTU PROPRTIS LTD,H
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,H
RAJRAYON,BZ,RAJ RAYON INDUSTRIES LTD,H
RAJSREESUG,BE,RAJSHREESUGARS LTD,H
RAMASTEEL,EQ,RAMA STEEL TUBES LIMITED,H
RAMKY,BE,RAMKY INFRA LTD,H
RANASUG,EQ,RANA SUGARS LTD.,H
RENUKA,EQ,SHREE RENUKA SUGARS LTD,H
ROLTA,EQ,ROLTA INDIA LTD,H
RPPL,SM,RAJSHREE POLYPACK LTD,H
RTNINDIA,BE,RATTANINDIA ENT LIMITED,H
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,H
RUSHIL,BE,RUSHIL DECOR LIMITED,H
SABEVENTS,BE,SAB EVENTS & GOVERNANCE,H
SAKAR,EQ,SAKAR HEALTHCARE LIMITED,H
SAKHTISUG,BE,SAKHTISUG SUGARS LTD,H
SALSTEEL,BE,S.A.L. STEEL LTD.,H
SAMBHAAV,BE,SAMBHAAV MEDIA LTD,H
SCAPDVR,EQ,STAMPEDE CAPITAL LIMITED,H
SETUINFRA,BE,SETUBANDHAN INFRA LTD,H
SGL,EQ,STL GLOBAL LIMITED,H
SHARDAMOTR,EQ,SHARDA MOTOR INDS LTD,H
SHREYAS,EQ,SHREYAS SHIPPING & LOGIST,H
SHYAMTEL,EQ,SHYAM TELECOM LIMITED,H
SICAGEN,BE,SICAGEN INDIA LIMITED,H
SIMBHALS,BE,SIMBHAOLI SUGARS LTD.,H
SKIL,BE,SKIL INFRASTRUCTURE LTD.,H
SOMATEX,BE,SOMA TEXTILEI NDUSTRIES L,H
SREIBNPNCD,NN,SRNCD SR VII B,H
SREIBNPNCD,NT,UNS RED NCD SR. VI,H
SREIBNPNCD,Y9,SEC RED NCD ZC SR. VIII,H
SRPL,BE,SHREE RAM PROTEINS LTD.,H
SSINFRA,SM,S S INFRA DEVP CONSL LTD,H
