MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NO,ECLFINANCE,SEC RED NCD 9.95% SR. III,       996.96,      1000.00,      1000.00,      1000.00,      1000.00,                   103000.00,103, ,8,      1010.00,       792.00
N,NO,L&TFINANCE,SERENCD 9.0% SR.III OPII,      1072.60,      1074.99,      1074.99,      1074.99,      1074.99,                    91374.15,85, ,1,      1337.84,      1020.08
N,NP,DHFL,SEC RED NCD 9.25% SR. 3B,       381.10,       389.00,       389.00,       389.00,       389.00,                   141207.00,363, ,3,       405.00,       221.00
N,NP,ECLFINANCE,SEC RED NCD 10.40% SR. IV,      1021.00,      1015.31,      1015.31,      1015.02,      1015.04,                   111655.10,110, ,3,      1050.00,       801.05
N,NQ,DHANILOANS,DHANI LOANS & SERV LTD,      1125.00,       952.40,      1125.00,       952.40,      1125.00,                    15149.00,15, ,2,      1125.50,       802.80
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,       999.00,      1000.00,      1004.00,      1000.00,      1000.00,                   479012.00,479, ,28,      1020.00,       900.00
N,NR,SREIBNPNCD,UNS RED NCD 9.35% SR. IV,       376.00,       376.00,       376.00,       376.00,       376.00,                     9400.00,25, ,1,       989.99,       343.00
N,NS,DHFL,SEC RED NCD 9.00% SR. II,       374.31,       370.00,       371.01,       370.00,       370.84,                    90689.82,245, ,4,       399.00,       215.01
N,NT,SREIBNPNCD,UNS RED NCD SR. VI,       456.20,       364.96,       547.44,       364.96,       547.44,                     5839.36,14, ,2,       950.00,       364.96
N,NU,DHFL,SEC RED NCD 9.00% SR. III,       385.99,       384.99,       385.00,       384.99,       384.99,                    36574.55,95, ,3,       394.99,       219.80
N,NU,L&TFINANCE,SERENCD 9.05% SR.VI OPII,      1151.80,      1152.00,      1152.00,      1152.00,      1152.00,                    80640.00,70, ,1,      1210.00,       942.40
N,NU,SREIBNPNCD,UNS RED NCD 9.50% SR. VII,       386.00,       410.00,       410.00,       350.00,       350.73,                    53782.75,150, ,8,       896.00,       270.00
N,NX,DHFL,SEC RED NCD 9.10% SR. IV,       380.00,       371.00,       374.00,       371.00,       373.58,                    54400.00,146, ,5,       390.00,       206.00
N,NX,SREIBNPNCD,SEC RED NCD 9.60% SR. V,       432.00,       480.00,       480.00,       480.00,       480.00,                      480.00,1, ,1,       955.99,       322.01
N,NY,SREIBNPNCD,SEC RED NCD 10.00% SR. VI,       475.00,       402.00,       410.00,       380.00,       380.00,                    94147.58,240, ,19,       999.00,       330.00
N,NZ,SREIBNPNCD,SEC RED NCD SR. VII,       700.00,       560.10,       560.10,       560.00,       560.00,                    22400.20,40, ,10,      1385.00,       288.10
N,Y1,DHFL,SEC RED NCD 8.65% SR. VI,       373.00,       370.00,       374.99,       370.00,       374.99,                   120127.94,324, ,6,       403.00,       220.00
N,Y1,SREIBNPNCD,SEC RED NCD 9.12% SR. VI,       428.02,       362.50,       362.50,       350.00,       350.00,                    21432.50,60, ,3,       940.00,       262.50
N,Y2,SREIBNPNCD,SEC RED NCD 9.50% SR. VII,       450.00,       365.00,       390.00,       360.00,       369.99,                   426967.52,1178, ,51,       950.00,       311.05
N,Y5,L&TFINANCE,SE RE NCD 8.60% SR.IV O8,      1110.00,      1090.00,      1090.00,      1089.99,      1090.00,                   414199.00,380, ,6,      1190.40,      1050.00
N,Y7,SREIBNPNCD,SEC RED NCD 8.65% SR. VI,       400.00,       361.00,       361.00,       320.30,       336.90,                    63148.72,190, ,12,      1000.00,       302.00
N,Y8,SREIBNPNCD,SEC RED NCD 9.00% SR. VII,       410.00,       335.80,       345.10,       328.00,       328.00,                   344517.60,1026, ,37,       900.00,       271.80
N,Y9,SREIBNPNCD,SEC RED NCD ZC SR. VIII,       300.00,       360.00,       360.00,       360.00,       360.00,                   378000.00,1050, ,30,       980.00,       250.01
N,YI,SRTRANSFIN,SEC RED NCD 9.03% SR. II,      1055.00,      1057.85,      1066.85,      1057.85,      1066.85,                   136705.65,129, ,6,      1150.00,       911.00
