SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,SASKEN,Sasken Technologies Ltd, ,17/07/2021,17/07/2021,15/07/2021, , ,DIV - RS 15 PER SH       
EQ,JSWSTEEL,JSW Steel Limited, ,07/07/2021,09/07/2021,05/07/2021, , ,AGM/DIV - RS 6.50 PER SH 
EQ,WENDT,Wendt (India) Ltd., ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 20 PER SH   
EQ,JINDALSAW,Jindal Saw Limited, ,10/07/2021,16/07/2021,08/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,ATUL,Atul Ltd., ,17/07/2021,23/07/2021,15/07/2021, , ,AGM/DIV - RS 20 PER SH   
EQ,SHRIRAMCIT,Shriram City Union Financ, ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 13 PER SH   
EQ,JKCEMENT,JK Cement Limited, ,05/08/2021,14/08/2021,03/08/2021, , ,AGM/DIV - RS 15 PER SH   
EQ,SAKSOFT,Saksoft Limited, ,01/08/2021,10/08/2021,29/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,M&MFIN,Mahindra & Mahindra Finan, ,20/07/2021,26/07/2021,16/07/2021, , ,AGM/DIV - RS  0.80 PER SH
EQ,GANGOTRI,Gangotri Textiles Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,PRIMESECU,Prime Securities Limited, ,10/08/2021,17/08/2021,06/08/2021, , ,AGM/DIV-RS 4.50 PER SH   
EQ,GRANULES,Granules India Limited, ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 0.75 PER SH 
EQ,CUMMINSIND,Cummins India Limited,05/08/2021, , ,04/08/2021, , ,AGM/DIV - RS 8 PER SH    
EQ,MARKSANS,Marksans Pharma Limited,02/07/2021, , ,01/07/2021, , ,EOGM                     
EQ,PIONEEREMB,Pioneer Embroideries Limi, ,10/07/2021,19/07/2021,08/07/2021, , ,AGM/DIV - RS 0.25  PER SH
EQ,MMFL,MM Forgings Ltd.,02/07/2021, , ,01/07/2021, , ,INTDIV - RS 5 PER SH     
EQ,PAGEIND,Page Industries Limited, ,05/08/2021,05/08/2021,03/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,BALAMINES,Balaji Amines Limited, ,02/08/2021,09/08/2021,29/07/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,TECHM,Tech Mahindra Limited, ,27/07/2021,30/07/2021,23/07/2021, , ,AGM/DIV-RS15SPLDIV-RS15  
